,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
UBTC,SHA-256,PoW,20166000.0,20166000,-0.1519652144792837,-1.2733367114972476,0.18397444329114854,UnitedBitcoin,1
ITZ,C11,PoW,11916588.09471,23000000,-0.19543752900730055,-1.2370623852902647,0.09199360009831699,Interzone,1
TPAY,POS 3.0,PoS,20445861.5344251,25000000,-0.3452395057706441,1.5997736597015773,-0.13837062555474047,TokenPay,0
MCT,Ethash,PoS,1618033.0,1618033,-0.28753771757794105,-0.008053018249233705,0.17425510206714453,1717 Masonic Commemorative Token,0
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000,-0.3036940693696375,0.169684157130829,-0.45379286815202446,My Big Coin,0
TRTL,CryptoNight,PoW,53139835213.77,1000000000000,8.027376868096912,-2.743492356395142,0.24660198884701892,TurtleCoin,1
MUN,SkunkHash,PoW,4818338.98949984,16600000,-0.16742063264776955,-2.1486968410839764,0.30027701495676573,MUNcoin,1
USX,Scrypt,PoW/PoS,234846265.782157,232000000,-0.3218865039060149,0.9806619302402797,-0.5639869470442795,Unified Society USDEX,0
NBR,CryptoNight,PoW,133932467.774108,336000000,0.29622691799759,-2.2985782797017342,0.32867815307509446,Niobio Cash,1
SSS,Scrypt,PoW,10000000000.0,10000000000,0.02166883277111248,-1.144259859307314,-0.07413501242210511,ShareChain,1
TRF,Dagger,PoW,107325266.027783,100000000,-0.1688785871706412,-2.1025918649504436,0.42678929526874354,Travelflex,1
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000,-0.1807040277739695,-1.18595574414887,0.2127745150835849,KREDS,1
TOKC,X13,PoS,230298925.0,800000000,-0.2245072840827508,1.6273443550405893,-0.2386869488776062,Tokyo Coin,0
BBP,Proof-of-BibleHash,POBh,1772091549.88818,5200000000,0.0824485917674378,-2.3054909315344,7.5534747492721,BiblePay,3
LCC,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000,-0.45277301057108765,4.432882153661684,10.211553001120608,LitecoinCash,3
FLIP,Scrypt,PoW,12446100.00278,40000000,-0.17095523755513012,-1.1441794014554458,-0.07101653956036413,BitFlip,1
LOT,Scrypt,PoW,14491014421.0,18406979840,0.13611988265192282,-1.1461402450544522,-0.07580913940523186,LottoCoin,1
CIF,X11,PoW,211297638.500483,500000000,-0.2264686015345058,-0.847856352893225,0.12063761536140244,Crypto Improvement Fund,1
SPD,C11,PoW/PoS,11251342.1879021,19340594,-0.3504810939791505,0.8877681662509884,-0.40090901246339644,Stipend,0
POA,Proof-of-Authority,PoA,204479039.0,252460800,-0.4444654431663776,3.8913413821579503,14.75075661456915,Poa Network,3
